preco_total,quartos,banheiros,suites,vagas,mobiliado,area_util
1700,2,3,1,2,0,99.0
4418,2,2,1,1,0,77.0
11878,3,4,1,2,0,223.0
2800,1,1,1,1,1,42.0
12927,4,6,4,4,0,230.0
12000,3,3,3,6,0,399.0
1950,2,2,0,2,0,60.0
3380,1,2,1,1,1,48.0
2500,1,1,0,1,1,30.0
1750,1,1,0,0,0,30.0
3545,2,2,1,2,0,77.0
12000,4,4,4,5,0,428.0
5490,3,5,3,1,0,300.0
1200,2,1,0,0,0,50.0
4900,2,3,1,2,0,96.0
14600,3,5,2,2,1,200.0
2551,2,2,1,2,0,66.0
6900,1,1,1,2,0,62.0
3000,1,1,1,1,1,42.0
5700,2,1,0,1,1,62.0
600,1,1,0,0,0,20.0
3200,1,1,1,1,1,31.0
18000,1,6,0,15,0,111.0
9895,1,1,0,0,1,63.0
2668,1,1,0,1,1,28.0
6200,2,2,1,1,0,65.0
3000,1,1,1,1,1,44.0
3800,1,1,1,1,1,29.0
2360,2,1,0,1,0,63.0
3400,1,1,1,1,1,48.0
5162,2,1,0,2,1,54.0
2850,1,1,0,1,1,28.0
1800,2,1,0,0,0,96.0
3905,1,1,0,1,1,40.0
5559,1,2,0,2,0,70.0
16890,4,4,4,3,0,360.0
13260,3,5,3,2,0,160.0
5398,1,1,0,1,1,50.0
3100,1,1,1,1,1,35.0
1700,3,1,0,0,0,90.0
8700,3,3,1,2,0,160.0
9500,3,3,3,3,0,193.0
3172,1,1,0,1,1,40.0
2066,2,1,0,1,1,62.0
6750,4,4,1,6,0,380.0
3852,1,1,0,1,1,33.0
75962,5,6,5,6,0,580.0
750,1,1,0,0,1,25.0
3800,1,1,0,1,1,35.0
1300,2,2,0,0,0,70.0
4400,3,2,1,1,0,71.0
1721,1,1,1,1,0,38.0
4439,1,1,0,1,1,50.0
4552,3,3,1,2,0,150.0
3280,1,1,0,1,1,35.0
3230,1,1,0,1,1,40.0
1033,1,1,0,1,0,40.0
1957,2,2,1,2,0,160.0
2694,1,1,0,1,1,28.0
1600,1,1,1,0,0,55.0
1154,1,1,0,0,0,15.0
5850,3,3,1,2,1,100.0
7455,2,1,0,1,1,168.0
2262,2,1,0,1,0,68.0
2137,1,1,0,1,0,35.0
5500,1,1,1,1,1,55.0
2150,1,1,0,0,0,55.0
8207,3,5,1,1,0,163.0
1401,2,1,0,1,0,35.0
2820,1,1,0,1,1,28.0
7240,3,3,1,1,1,101.0
5643,1,2,1,2,0,73.0
2900,1,1,1,1,1,40.0
15000,5,4,1,6,0,740.0
2925,1,1,0,1,1,55.0
8875,3,4,1,2,1,128.0
19490,4,5,4,4,0,275.0
13100,3,4,3,3,0,230.0
3867,3,2,1,2,0,73.0
4050,1,1,0,1,0,44.0
10600,2,2,1,2,0,95.0
3660,2,2,1,1,0,65.0
7000,3,2,1,1,0,191.0
19200,3,4,3,4,0,284.0
4670,3,1,0,0,1,85.0
13885,4,6,4,4,0,208.0
8600,4,6,4,5,1,280.0
6800,3,4,1,2,0,210.0
35000,4,5,0,20,0,546.0
4500,1,1,0,1,1,50.0
6335,3,3,1,1,0,130.0
2240,1,1,1,0,0,50.0
8950,4,4,2,2,0,145.0
5400,2,2,1,1,0,70.0
3335,2,2,1,1,0,63.0
6970,2,2,1,1,1,60.0
11000,3,4,1,3,0,230.0
500,1,1,0,0,0,30.0
4790,2,1,1,1,0,85.0
2505,1,1,0,1,0,37.0
10700,4,3,1,2,0,140.0
7000,3,3,0,4,0,150.0
2780,1,2,1,1,1,47.0
2960,1,1,0,1,0,36.0
7730,3,2,1,3,1,120.0
9440,2,2,1,2,1,60.0
3400,1,1,0,1,1,30.0
6000,3,2,0,6,0,164.0
3400,1,1,0,1,1,30.0
2800,1,1,1,0,1,28.0
8716,3,2,1,2,0,140.0
3100,1,1,0,1,0,42.0
3156,1,1,0,0,0,30.0
2860,1,1,1,1,1,37.0
4000,1,1,1,1,1,37.0
2700,3,2,0,2,0,144.0
2500,2,1,0,1,1,54.0
900,1,1,0,0,0,35.0
2270,3,1,0,1,0,70.0
800,1,1,0,0,0,40.0
3160,1,1,0,0,0,22.0
2334,1,1,0,0,1,40.0
3960,2,2,1,1,1,65.0
17555,3,3,2,3,0,169.0
2800,1,1,0,0,1,30.0
